TTI[2714] - trigger[154, 14 ]
TTI[2726] - trigger[46 , 87 ]
TTI[2730] - trigger[6  , 211]
TTI[2736] - trigger[139, 35 ]
TTI[2736] - trigger[166, 207]
TTI[2741] - trigger[161, 189]
TTI[2742] - trigger[70 , 0  ]
TTI[2751] - trigger[124, 39 ]
TTI[2756] - trigger[78 , 84 ]
TTI[2764] - trigger[139, 181]
TTI[2783] - trigger[98 , 191]
TTI[2784] - trigger[135, 170]
TTI[2785] - trigger[213, 164]
TTI[2790] - trigger[14 , 95 ]
TTI[2800] - trigger[54 , 140]
TTI[2812] - trigger[1  , 137]
TTI[2815] - trigger[89 , 116]
TTI[2818] - trigger[189, 127]
TTI[2819] - trigger[104, 140]
TTI[2825] - trigger[31 , 126]
TTI[2828] - trigger[87 , 12 ]
TTI[2829] - trigger[187, 186]
TTI[2832] - trigger[162, 155]
TTI[2838] - trigger[144, 195]
TTI[2839] - trigger[208, 75 ]
TTI[2845] - trigger[62 , 15 ]
TTI[2851] - trigger[24 , 175]
TTI[2867] - trigger[192, 216]
TTI[2870] - trigger[65 , 30 ]
TTI[2871] - trigger[161, 194]
TTI[2877] - trigger[20 , 91 ]
TTI[2881] - trigger[116, 201]
TTI[2881] - trigger[176, 158]
TTI[2887] - trigger[56 , 118]
TTI[2896] - trigger[47 , 62 ]
TTI[2898] - trigger[200, 219]
TTI[2900] - trigger[42 , 141]
TTI[2911] - trigger[7  , 57 ]
TTI[2922] - trigger[115, 8  ]
TTI[2932] - trigger[88 , 0  ]
TTI[2947] - trigger[47 , 218]
TTI[2948] - trigger[209, 135]
TTI[2958] - trigger[222, 44 ]
TTI[2969] - trigger[120, 218]
TTI[2977] - trigger[37 , 177]
TTI[2992] - trigger[91 , 82 ]
TTI[2996] - trigger[177, 135]
TTI[2998] - trigger[156, 196]
TTI[3008] - trigger[19 , 176]
TTI[3022] - trigger[117, 199]
TTI[3022] - trigger[163, 45 ]
TTI[3023] - trigger[68 , 27 ]
TTI[3025] - trigger[217, 52 ]
TTI[3030] - trigger[215, 64 ]
TTI[3032] - trigger[53 , 123]
TTI[3039] - trigger[146, 108]
TTI[3040] - trigger[197, 163]
TTI[3043] - trigger[169, 50 ]
TTI[3057] - trigger[155, 165]
TTI[3065] - trigger[66 , 206]
TTI[3065] - trigger[139, 43 ]
TTI[3070] - trigger[184, 6  ]
TTI[3072] - trigger[215, 140]
TTI[3081] - trigger[106, 139]
TTI[3086] - trigger[152, 58 ]
TTI[3088] - trigger[111, 73 ]
TTI[3088] - trigger[183, 61 ]
TTI[3089] - trigger[90 , 19 ]
TTI[3090] - trigger[149, 215]
TTI[3097] - trigger[45 , 166]
TTI[3098] - trigger[210, 152]
TTI[3104] - trigger[39 , 9  ]
TTI[3110] - trigger[50 , 23 ]
TTI[3118] - trigger[118, 169]
TTI[3122] - trigger[98 , 165]
TTI[3127] - trigger[17 , 95 ]
TTI[3129] - trigger[78 , 27 ]
TTI[3135] - trigger[191, 188]
TTI[3138] - trigger[134, 149]
TTI[3141] - trigger[82 , 12 ]
TTI[3151] - trigger[210, 227]
TTI[3154] - trigger[208, 156]
TTI[3155] - trigger[102, 0  ]
TTI[3155] - trigger[178, 209]
TTI[3157] - trigger[41 , 185]
TTI[3157] - trigger[62 , 133]
TTI[3160] - trigger[212, 199]
TTI[3161] - trigger[56 , 55 ]
TTI[3163] - trigger[116, 42 ]
TTI[3166] - trigger[8  , 30 ]
TTI[3170] - trigger[212, 112]
TTI[3174] - trigger[58 , 219]
TTI[3180] - trigger[190, 27 ]
TTI[3181] - trigger[92 , 133]
TTI[3181] - trigger[144, 37 ]
TTI[3183] - trigger[222, 208]
TTI[3190] - trigger[183, 137]
TTI[3196] - trigger[202, 153]
TTI[3204] - trigger[113, 62 ]
TTI[3204] - trigger[193, 214]
TTI[3212] - trigger[179, 192]
TTI[3214] - trigger[124, 25 ]
TTI[3222] - trigger[158, 74 ]
TTI[3225] - trigger[181, 35 ]
TTI[3226] - trigger[41 , 77 ]
TTI[3232] - trigger[43 , 4  ]
TTI[3245] - trigger[77 , 127]
TTI[3246] - trigger[10 , 65 ]
TTI[3251] - trigger[92 , 0  ]
TTI[3259] - trigger[203, 194]
TTI[3262] - trigger[159, 108]
TTI[3267] - trigger[169, 106]
TTI[3271] - trigger[40 , 50 ]
TTI[3272] - trigger[67 , 164]
TTI[3273] - trigger[145, 42 ]
TTI[3276] - trigger[219, 161]
TTI[3279] - trigger[79 , 136]
TTI[3284] - trigger[86 , 120]
TTI[3287] - trigger[37 , 44 ]
TTI[3291] - trigger[46 , 101]
TTI[3304] - trigger[18 , 82 ]
TTI[3304] - trigger[150, 63 ]
TTI[3309] - trigger[63 , 121]
TTI[3317] - trigger[182, 199]
TTI[3318] - trigger[220, 130]
TTI[3320] - trigger[124, 185]
TTI[3324] - trigger[213, 114]
TTI[3327] - trigger[145, 215]
TTI[3327] - trigger[168, 58 ]
TTI[3334] - trigger[210, 207]
TTI[3335] - trigger[154, 60 ]
TTI[3339] - trigger[29 , 175]
TTI[3343] - trigger[206, 108]
TTI[3344] - trigger[199, 206]
TTI[3353] - trigger[85 , 107]
TTI[3355] - trigger[7  , 18 ]
TTI[3361] - trigger[93 , 138]
TTI[3369] - trigger[124, 58 ]
TTI[3377] - trigger[102, 209]
TTI[3378] - trigger[60 , 12 ]
TTI[3381] - trigger[25 , 88 ]
TTI[3383] - trigger[224, 210]
TTI[3384] - trigger[86 , 71 ]
TTI[3385] - trigger[179, 53 ]
TTI[3388] - trigger[16 , 104]
TTI[3403] - trigger[42 , 68 ]
TTI[3411] - trigger[136, 26 ]
TTI[3417] - trigger[93 , 138]
TTI[3422] - trigger[206, 154]
TTI[3425] - trigger[59 , 116]
TTI[3430] - trigger[20 , 134]
TTI[3433] - trigger[187, 208]
TTI[3450] - trigger[24 , 193]
TTI[3461] - trigger[207, 198]
TTI[3462] - trigger[66 , 168]
TTI[3463] - trigger[149, 217]
TTI[3464] - trigger[166, 148]
TTI[3473] - trigger[110, 188]
TTI[3480] - trigger[210, 113]
TTI[3481] - trigger[17 , 95 ]
TTI[3487] - trigger[90 , 3  ]
TTI[3498] - trigger[207, 105]
TTI[3506] - trigger[146, 222]
TTI[3513] - trigger[9  , 92 ]
TTI[3518] - trigger[207, 184]
TTI[3520] - trigger[208, 186]
TTI[3521] - trigger[97 , 81 ]
TTI[3521] - trigger[226, 51 ]
TTI[3522] - trigger[142, 170]
TTI[3525] - trigger[188, 15 ]
TTI[3526] - trigger[214, 40 ]
TTI[3529] - trigger[7  , 167]
TTI[3529] - trigger[109, 58 ]
TTI[3532] - trigger[26 , 45 ]
TTI[3537] - trigger[10 , 84 ]
TTI[3538] - trigger[136, 62 ]
TTI[3539] - trigger[66 , 3  ]
TTI[3554] - trigger[62 , 1  ]
TTI[3563] - trigger[44 , 129]
TTI[3563] - trigger[118, 102]
TTI[3566] - trigger[191, 219]
TTI[3568] - trigger[6  , 57 ]
TTI[3581] - trigger[150, 9  ]
TTI[3583] - trigger[131, 197]
TTI[3584] - trigger[32 , 152]
TTI[3595] - trigger[84 , 152]
TTI[3598] - trigger[58 , 102]
TTI[3598] - trigger[151, 129]
TTI[3617] - trigger[139, 113]
TTI[3621] - trigger[217, 192]
TTI[3626] - trigger[53 , 219]
TTI[3635] - trigger[7  , 102]
TTI[3639] - trigger[179, 183]
TTI[3640] - trigger[15 , 168]
TTI[3641] - trigger[226, 185]
TTI[3646] - trigger[175, 60 ]
TTI[3653] - trigger[20 , 123]
TTI[3654] - trigger[51 , 74 ]
TTI[3654] - trigger[93 , 102]
TTI[3656] - trigger[93 , 92 ]
TTI[3667] - trigger[46 , 79 ]
TTI[3675] - trigger[176, 60 ]
